,ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,DS,Present in List
0,388,Longest Absolute File Path,41.80%,Medium,5.91308589, https://leetcode.com/problems/longest-absolute-file-path,,No
1,683,K Empty Slots,35.60%,Hard,5.780765145, https://leetcode.com/problems/k-empty-slots,,No
2,681,Next Closest Time,45.00%,Medium,5.6484444, https://leetcode.com/problems/next-closest-time,,No
3,1,Two Sum,45.60%,Easy,5.644982904, https://leetcode.com/problems/two-sum,,Yes
4,929,Unique Email Addresses,67.40%,Easy,5.641251481, https://leetcode.com/problems/unique-email-addresses,,No
5,904,Fruit Into Baskets,42.50%,Medium,5.622005351, https://leetcode.com/problems/fruit-into-baskets,,No
6,482,License Key Formatting,43.10%,Easy,5.489684606, https://leetcode.com/problems/license-key-formatting,,No
7,308,Range Sum Query 2D - Mutable,35.60%,Hard,5.479895265, https://leetcode.com/problems/range-sum-query-2d-mutable,,No
8,1007,Minimum Domino Rotations For Equal Row,50.00%,Medium,5.34757452, https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,,No
9,843,Guess the Word,46.10%,Hard,5.215253774, https://leetcode.com/problems/guess-the-word,,No
10,288,Unique Word Abbreviation,21.90%,Medium,5.082933029, https://leetcode.com/problems/unique-word-abbreviation,,No
11,489,Robot Room Cleaner,69.70%,Hard,4.950612284, https://leetcode.com/problems/robot-room-cleaner,,No
12,399,Evaluate Division,51.60%,Medium,4.93312795, https://leetcode.com/problems/evaluate-division,,No
13,975,Odd Even Jump,42.20%,Hard,4.893302384, https://leetcode.com/problems/odd-even-jump,,No
14,686,Repeated String Match,32.30%,Easy,4.836325284, https://leetcode.com/problems/repeated-string-match,,Yes
15,418,Sentence Screen Fitting,32.60%,Medium,4.781933323, https://leetcode.com/problems/sentence-screen-fitting,,No
16,753,Cracking the Safe,50.50%,Hard,4.699786813, https://leetcode.com/problems/cracking-the-safe,,No
17,271,Encode and Decode Strings,31.50%,Medium,4.677975295, https://leetcode.com/problems/encode-and-decode-strings,,No
18,361,Bomb Enemy,46.00%,Medium,4.673664844, https://leetcode.com/problems/bomb-enemy,,No
19,298,Binary Tree Longest Consecutive Sequence,47.10%,Medium,4.601753216, https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,Tree,No
20,281,Zigzag Iterator,58.40%,Medium,4.497936295, https://leetcode.com/problems/zigzag-iterator,,No
21,1057,Campus Bikes,57.70%,Medium,4.447943229, https://leetcode.com/problems/campus-bikes,,No
22,393,UTF-8 Validation,37.50%,Medium,4.444092228, https://leetcode.com/problems/utf-8-validation,,No
23,163,Missing Ranges,24.30%,Medium,4.311771483, https://leetcode.com/problems/missing-ranges,,No
24,159,Longest Substring with At Most Two Distinct Characters,49.40%,Medium,4.262457726, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,,No
25,844,Backspace String Compare,46.40%,Easy,4.13013698, https://leetcode.com/problems/backspace-string-compare,,No
26,642,Design Search Autocomplete System,44.70%,Hard,4.121348379, https://leetcode.com/problems/design-search-autocomplete-system,,No
27,340,Longest Substring with At Most K Distinct Characters,44.10%,Hard,4.118703459, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,,Yes
